ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,views,label
0,-11846.0680617,-212.236597684,1207.13403917,-2076.86730315,1033.83202753,-700.079508734,1024.03986963,-540.23030661,317.278280054,478.848183593,-102.244845695,18.3937188275,66.2008146132,82.4962704975,70.7138528061,60.2674690194,25.6885108345,5.9065058899,-2.6142772154,-4.4636984344,129493,3
1,-7268.97545184,-3899.25764995,2113.64280692,525.968102161,482.493138198,-910.069481421,-338.676732496,-501.269919238,-602.31661963,243.740666279,113.42462311,-39.8945966259,28.390294227,-42.7388610535,31.0523248071,33.5523655574,-32.6004091316,-15.2394245619,-10.6118221697,-31.646944552,111507761,5
2,-12809.8081728,1708.71463437,1911.67556388,-3103.8501806,1519.49548592,-521.731414544,1167.81027109,-111.874614529,222.102858369,158.204599541,-277.789765137,-88.3348701082,34.8932523367,-131.452357242,122.229344228,21.2337589933,22.441959436,-2.3080045832,2.0094582967,-6.0374842122,13028492,5
3,-11836.3522683,1998.78332045,1935.76022079,-4459.48695127,-179.53272922,-1116.2536658,729.154548058,27.638219805,-325.378454007,-261.699914769,-356.318191572,-9.0564633204,96.5171406425,22.6206769064,149.673581421,34.8526675592,34.4537386689,-27.20154214,26.090620051,-11.9283752158,294063,3
4,-11819.2060219,3885.51249578,1655.85725163,883.191745792,4453.13895661,4042.43153829,4146.2068562,569.207985137,427.324003325,9.5380267737,-458.210109049,147.401224055,239.636406428,-105.922347756,114.605716592,-15.847627592,14.0134041233,28.0313030902,48.5536718344,-9.9809241126,2715515,4
5,-8944.89676859,-743.792305274,2120.15326599,-2016.90356853,377.316807106,-1638.50130459,1034.11456806,611.194681832,-149.322445944,-433.881161066,-297.369952892,481.373404837,-224.96673635,102.65166884,-29.062090833,-49.8710991831,-35.8645039692,-23.2750510011,-11.2972601592,-32.2105986431,91328466,5
6,-13646.257627,-3259.84689783,1280.39168404,-2077.43350693,1122.42761447,-2061.31757029,1681.30845896,-181.592285099,-678.028785614,-6.3787250281,-163.739641446,12.369247752,150.432438101,-56.4457108356,62.2988133749,-26.1109672554,-0.249852714,-19.0704283661,-8.9905989258,2.6394410452,477165,4
7,4627.50255816,143.316478468,-821.781954477,-928.023278435,-788.221938409,-979.337446671,1607.69517589,-149.741369975,-7.863755124,314.770790255,-191.547095038,-73.2306420523,99.3157551202,-22.3235542692,-4.5732472429,50.4714964935,-38.3947802103,-49.9995867746,-15.3528161859,-11.3773222456,624746,4
8,9561.9977435,2433.73392491,-5931.10316649,-3771.40551223,597.49283518,-1497.80059438,2237.44687925,-127.353161648,-528.6799274,29.8664779124,-333.043684817,-9.7550255341,24.0780513254,-8.0438878706,-2.6341021459,-8.5581682682,33.7114988421,-40.3292147891,-16.3239710385,-16.7116098801,441772,4
9,-10358.3295967,-1374.17021911,1027.61884195,-915.146798383,134.614259934,-936.409609908,-598.811534968,272.869742195,-354.839834548,124.475040574,-1.5894454053,137.348009528,70.5008203623,-23.6830294344,-39.784515756,4.7067179159,-1.5986003839,17.6781617419,-38.5450369432,0.4254042314,20599,2
